,,Accuracy,Accuracy,AUC,AUC,F1,F1,MCC,MCC
,,mean,std,mean,std,mean,std,mean,std
Model,Experiment,,,,,,,,
LR,Real_only,0.818259493670886,0.05735836970231863,0.8518026741731175,0.06727078253187027,0.7621185900784639,0.07316145482279332,0.6160034414398402,0.11929469170836321
LR,Real_plus_All_Synthetic,0.9823417721518988,0.011269555632463115,0.998917006802721,0.0017729305940695746,0.9770402770184072,0.014524168984074475,0.963587264009585,0.02307848853655068
LR,Real_plus_Synthetic_Balanced,0.8484810126582278,0.05801350201150173,0.9037581984517946,0.042737872387629966,0.7974733722330277,0.08259629443734769,0.6765879555178674,0.12717058939141873
LR,Synthetic_only_TSTR,0.9722151898734177,0.018786383809343152,0.9994585034013606,0.0008864652970347432,0.9646697388632873,0.023821908478142608,0.9439870000838562,0.03739833796279932
RF,Real_only,0.8510443037974683,0.037138000656653486,0.9232614590663852,0.03817668302718285,0.7827510770974323,0.06025744119614565,0.6777585133466684,0.08502238770851077
RF,Real_plus_All_Synthetic,0.9444936708860758,0.022788765479467964,0.9888581749941355,0.005986026452451504,0.9225632124872336,0.03291316799546443,0.8814100228059083,0.0492562069945978
RF,Real_plus_Synthetic_Balanced,0.8813607594936709,0.03274980108700787,0.9487934318555009,0.022923633165171268,0.826913103786951,0.05156031912448461,0.7456994896278107,0.07459345949991643
RF,Synthetic_only_TSTR,0.9192088607594936,0.019093715740324386,0.9891367581515365,0.005448246188948484,0.8982027106068617,0.02327733487875842,0.8360563703335243,0.03896241306575735
SVM,Real_only,0.7122151898734177,0.07070628759815151,0.8306489326765188,0.07193551711071573,0.5740105833126228,0.1072669747937239,0.3773548855679735,0.15104002040119233
SVM,Real_plus_All_Synthetic,0.6667405063291139,0.023185752390725945,0.8911220267417311,0.04326905718289903,0.21716203006525586,0.11267062098642991,0.24126878851161973,0.07540052058843218
SVM,Real_plus_Synthetic_Balanced,0.6414556962025316,0.02202722601936057,0.8408388458831808,0.055594721472424065,0.08870967741935484,0.0716364435662898,0.13142786780133509,0.11069021211724764
SVM,Synthetic_only_TSTR,0.6217405063291139,0.206284565063332,0.9107074829931973,0.04581614406877958,0.630005511856582,0.13022578126810494,0.37482282473443546,0.25589835393024574
XGBoost,Real_only,0.8459177215189874,0.037521091115278266,0.929410086793338,0.03880814606512898,0.7839773402165472,0.05434954886091793,0.6674574232910537,0.08171148847408422
XGBoost,Real_plus_All_Synthetic,0.9798417721518987,0.014287720605560142,0.9989278911564625,0.0017395397168738216,0.9727422961404623,0.01953150099771566,0.9571731004244443,0.030590380968525205
XGBoost,Real_plus_Synthetic_Balanced,0.9142088607594937,0.025564547842533994,0.9692486980999296,0.017721232751943136,0.8811185190995372,0.038815788530092044,0.8163365444845537,0.056044963897824214
XGBoost,Synthetic_only_TSTR,0.9697151898734176,0.0112439786089774,0.9994620689655171,0.0008701688438944879,0.9608587041373926,0.014358219404256384,0.9377898404214171,0.022831611937709457
